Model,RMSE,MAE,R2
Linear Regression,0.5409204802021799,0.4352196515198021,0.3004868759090288
Random Forest,0.5621384706830035,0.46521767721383955,0.24453276613319397
SVR,0.5685091202491329,0.45547073326187815,0.22731249460117653
Decision Tree,0.7223008838112958,0.5868812131839171,-0.2472838806420119
